Fall_Alleghany_1	Fall_Alleghany_2	Fall_Alleghany_3	Fall_Braddock_1	Fall_Braddock_2	Fall_Braddock_3	Fall_Control_1	Fall_Control_2	Fall_Control_3	Fall_Monongahela_1	Fall_Monongahela_2	Fall_Monongahela_3	Fall_Neville_1	Fall_Neville_2	Fall_Neville_3	Fall_Sharpsburg_1	Fall_Sharpsburg_2	Fall_Sharpsburg_3	Fall_Sharpsburg_4
0.000	0.409	0.434	0.532	0.484	0.503	0.699	0.837	0.765	0.522	0.550	0.553	0.402	0.345	0.373	0.447	0.423	0.419	0.460
0.409	0.000	0.340	0.523	0.511	0.523	0.681	0.823	0.762	0.560	0.561	0.568	0.323	0.379	0.500	0.404	0.392	0.408	0.409
0.434	0.340	0.000	0.614	0.607	0.640	0.728	0.845	0.803	0.640	0.644	0.645	0.358	0.437	0.478	0.434	0.425	0.441	0.415
0.532	0.523	0.614	0.000	0.320	0.374	0.784	0.828	0.781	0.426	0.409	0.378	0.573	0.582	0.616	0.528	0.547	0.566	0.566
0.484	0.511	0.607	0.320	0.000	0.347	0.762	0.852	0.765	0.446	0.392	0.404	0.569	0.548	0.603	0.579	0.511	0.552	0.563
0.503	0.523	0.640	0.374	0.347	0.000	0.779	0.827	0.773	0.408	0.467	0.398	0.549	0.572	0.629	0.562	0.523	0.559	0.574
0.699	0.681	0.728	0.784	0.762	0.779	0.000	0.511	0.467	0.710	0.744	0.765	0.693	0.695	0.628	0.689	0.751	0.738	0.679
0.837	0.823	0.845	0.828	0.852	0.827	0.511	0.000	0.541	0.766	0.826	0.821	0.810	0.833	0.817	0.804	0.851	0.850	0.800
0.765	0.762	0.803	0.781	0.765	0.773	0.467	0.541	0.000	0.715	0.713	0.732	0.771	0.756	0.769	0.772	0.783	0.818	0.758
0.522	0.560	0.640	0.426	0.446	0.408	0.710	0.766	0.715	0.000	0.308	0.279	0.573	0.576	0.553	0.563	0.586	0.605	0.603
0.550	0.561	0.644	0.409	0.392	0.467	0.744	0.826	0.713	0.308	0.000	0.235	0.578	0.572	0.581	0.599	0.594	0.621	0.600
0.553	0.568	0.645	0.378	0.404	0.398	0.765	0.821	0.732	0.279	0.235	0.000	0.559	0.569	0.609	0.555	0.580	0.608	0.609
0.402	0.323	0.358	0.573	0.569	0.549	0.693	0.810	0.771	0.573	0.578	0.559	0.000	0.369	0.474	0.382	0.425	0.428	0.384
0.345	0.379	0.437	0.582	0.548	0.572	0.695	0.833	0.756	0.576	0.572	0.569	0.369	0.000	0.369	0.457	0.451	0.425	0.388
0.373	0.500	0.478	0.616	0.603	0.629	0.628	0.817	0.769	0.553	0.581	0.609	0.474	0.369	0.000	0.523	0.532	0.499	0.499
0.447	0.404	0.434	0.528	0.579	0.562	0.689	0.804	0.772	0.563	0.599	0.555	0.382	0.457	0.523	0.000	0.451	0.502	0.454
0.423	0.392	0.425	0.547	0.511	0.523	0.751	0.851	0.783	0.586	0.594	0.580	0.425	0.451	0.532	0.451	0.000	0.365	0.421
0.419	0.408	0.441	0.566	0.552	0.559	0.738	0.850	0.818	0.605	0.621	0.608	0.428	0.425	0.499	0.502	0.365	0.000	0.424
0.460	0.409	0.415	0.566	0.563	0.574	0.679	0.800	0.758	0.603	0.600	0.609	0.384	0.388	0.499	0.454	0.421	0.424	0.000
