Winter_Alleghany_2	Winter_Alleghany_3	Winter_Braddock_1	Winter_Braddock_2	Winter_Braddock_3	Winter_Control_2	Winter_Monongahela_1	Winter_Monongahela_2	Winter_Monongahela_3	Winter_Neville_1	Winter_Neville_2	Winter_Neville_3	Winter_Sharpsburg_1	Winter_Sharpsburg_2	Winter_Sharpsburg_3
0.000	0.320	0.882	0.542	0.507	0.854	0.605	0.495	0.433	0.405	0.362	0.374	0.681	0.555	0.539
0.320	0.000	0.915	0.607	0.563	0.872	0.674	0.543	0.454	0.390	0.411	0.366	0.660	0.624	0.547
0.882	0.915	0.000	0.883	0.903	0.894	0.811	0.784	0.855	0.912	0.842	0.858	0.875	0.793	0.864
0.542	0.607	0.883	0.000	0.397	0.802	0.475	0.416	0.440	0.530	0.536	0.498	0.729	0.639	0.606
0.507	0.563	0.903	0.397	0.000	0.813	0.511	0.514	0.411	0.568	0.455	0.441	0.698	0.640	0.630
0.854	0.872	0.894	0.802	0.813	0.000	0.790	0.836	0.849	0.872	0.822	0.840	0.853	0.828	0.862
0.605	0.674	0.811	0.475	0.511	0.790	0.000	0.407	0.513	0.588	0.499	0.481	0.641	0.584	0.570
0.495	0.543	0.784	0.416	0.514	0.836	0.407	0.000	0.366	0.478	0.405	0.379	0.615	0.503	0.480
0.433	0.454	0.855	0.440	0.411	0.849	0.513	0.366	0.000	0.487	0.380	0.349	0.730	0.622	0.572
0.405	0.390	0.912	0.530	0.568	0.872	0.588	0.478	0.487	0.000	0.412	0.443	0.690	0.635	0.541
0.362	0.411	0.842	0.536	0.455	0.822	0.499	0.405	0.380	0.412	0.000	0.290	0.673	0.598	0.501
0.374	0.366	0.858	0.498	0.441	0.840	0.481	0.379	0.349	0.443	0.290	0.000	0.587	0.544	0.509
0.681	0.660	0.875	0.729	0.698	0.853	0.641	0.615	0.730	0.690	0.673	0.587	0.000	0.435	0.459
0.555	0.624	0.793	0.639	0.640	0.828	0.584	0.503	0.622	0.635	0.598	0.544	0.435	0.000	0.437
0.539	0.547	0.864	0.606	0.630	0.862	0.570	0.480	0.572	0.541	0.501	0.509	0.459	0.437	0.000
