Fall_Alleghany_1	Fall_Alleghany_2	Fall_Alleghany_3	Fall_Braddock_1	Fall_Braddock_2	Fall_Braddock_3	Fall_Control_1	Fall_Control_2	Fall_Control_3	Fall_Monongahela_1	Fall_Monongahela_2	Fall_Monongahela_3	Fall_Neville_1	Fall_Neville_2	Fall_Neville_3	Fall_Sharpsburg_1	Fall_Sharpsburg_2	Fall_Sharpsburg_3	Fall_Sharpsburg_4
0.000	0.341	0.346	0.528	0.526	0.389	0.535	0.667	0.575	0.434	0.507	0.521	0.318	0.209	0.258	0.419	0.334	0.348	0.284
0.341	0.000	0.243	0.537	0.541	0.481	0.426	0.612	0.493	0.480	0.548	0.551	0.259	0.330	0.444	0.314	0.302	0.315	0.281
0.346	0.243	0.000	0.601	0.617	0.567	0.412	0.593	0.548	0.535	0.600	0.611	0.250	0.348	0.427	0.345	0.408	0.355	0.274
0.528	0.537	0.601	0.000	0.324	0.292	0.678	0.732	0.614	0.390	0.361	0.357	0.586	0.600	0.602	0.524	0.518	0.575	0.545
0.526	0.541	0.617	0.324	0.000	0.361	0.697	0.800	0.677	0.434	0.396	0.413	0.570	0.597	0.628	0.592	0.504	0.556	0.555
0.389	0.481	0.567	0.292	0.361	0.000	0.628	0.700	0.589	0.267	0.404	0.319	0.486	0.506	0.499	0.483	0.417	0.505	0.456
0.535	0.426	0.412	0.678	0.697	0.628	0.000	0.401	0.431	0.705	0.722	0.622	0.449	0.487	0.587	0.352	0.543	0.552	0.639
0.667	0.612	0.593	0.732	0.800	0.700	0.401	0.000	0.483	0.789	0.807	0.702	0.594	0.618	0.692	0.500	0.701	0.716	0.757
0.575	0.493	0.548	0.614	0.677	0.589	0.431	0.483	0.000	0.767	0.761	0.570	0.508	0.560	0.728	0.406	0.579	0.648	0.765
0.434	0.480	0.535	0.390	0.434	0.267	0.705	0.789	0.767	0.000	0.313	0.257	0.508	0.516	0.484	0.490	0.461	0.541	0.497
0.507	0.548	0.600	0.361	0.396	0.404	0.722	0.807	0.761	0.313	0.000	0.236	0.548	0.584	0.553	0.555	0.530	0.579	0.550
0.521	0.551	0.611	0.357	0.413	0.319	0.622	0.702	0.570	0.257	0.236	0.000	0.546	0.577	0.577	0.516	0.518	0.593	0.553
0.318	0.259	0.250	0.586	0.570	0.486	0.449	0.594	0.508	0.508	0.548	0.546	0.000	0.308	0.424	0.328	0.369	0.344	0.245
0.209	0.330	0.348	0.600	0.597	0.506	0.487	0.618	0.560	0.516	0.584	0.577	0.308	0.000	0.261	0.404	0.389	0.348	0.266
0.258	0.444	0.427	0.602	0.628	0.499	0.587	0.692	0.728	0.484	0.553	0.577	0.424	0.261	0.000	0.493	0.468	0.365	0.409
0.419	0.314	0.345	0.524	0.592	0.483	0.352	0.500	0.406	0.490	0.555	0.516	0.328	0.404	0.493	0.000	0.407	0.467	0.347
0.334	0.302	0.408	0.518	0.504	0.417	0.543	0.701	0.579	0.461	0.530	0.518	0.369	0.389	0.468	0.407	0.000	0.285	0.341
0.348	0.315	0.355	0.575	0.556	0.505	0.552	0.716	0.648	0.541	0.579	0.593	0.344	0.348	0.365	0.467	0.285	0.000	0.347
0.284	0.281	0.274	0.545	0.555	0.456	0.639	0.757	0.765	0.497	0.550	0.553	0.245	0.266	0.409	0.347	0.341	0.347	0.000
