Winter_Alleghany_2	Winter_Alleghany_3	Winter_Braddock_1	Winter_Braddock_2	Winter_Braddock_3	Winter_Control_2	Winter_Monongahela_1	Winter_Monongahela_2	Winter_Monongahela_3	Winter_Neville_1	Winter_Neville_2	Winter_Neville_3	Winter_Sharpsburg_1	Winter_Sharpsburg_2	Winter_Sharpsburg_3
0.000	0.223	0.821	0.349	0.374	0.749	0.513	0.350	0.322	0.223	0.250	0.264	0.574	0.492	0.400
0.223	0.000	0.861	0.432	0.410	0.755	0.561	0.435	0.343	0.261	0.301	0.322	0.548	0.560	0.415
0.821	0.861	0.000	0.801	0.810	0.484	0.616	0.691	0.769	0.850	0.771	0.765	0.678	0.584	0.724
0.349	0.432	0.801	0.000	0.203	0.622	0.328	0.189	0.264	0.392	0.286	0.303	0.516	0.493	0.300
0.374	0.410	0.810	0.203	0.000	0.632	0.347	0.277	0.297	0.419	0.259	0.247	0.524	0.497	0.382
0.749	0.755	0.484	0.622	0.632	0.000	0.538	0.656	0.698	0.757	0.680	0.692	0.525	0.530	0.627
0.513	0.561	0.616	0.328	0.347	0.538	0.000	0.304	0.390	0.536	0.415	0.428	0.532	0.448	0.443
0.350	0.435	0.691	0.189	0.277	0.656	0.304	0.000	0.255	0.358	0.308	0.289	0.483	0.412	0.316
0.322	0.343	0.769	0.264	0.297	0.698	0.390	0.255	0.000	0.355	0.280	0.203	0.602	0.523	0.365
0.223	0.261	0.850	0.392	0.419	0.757	0.536	0.358	0.355	0.000	0.339	0.356	0.540	0.565	0.421
0.250	0.301	0.771	0.286	0.259	0.680	0.415	0.308	0.280	0.339	0.000	0.201	0.555	0.493	0.406
0.264	0.322	0.765	0.303	0.247	0.692	0.428	0.289	0.203	0.356	0.201	0.000	0.524	0.469	0.379
0.574	0.548	0.678	0.516	0.524	0.525	0.532	0.483	0.602	0.540	0.555	0.524	0.000	0.294	0.307
0.492	0.560	0.584	0.493	0.497	0.530	0.448	0.412	0.523	0.565	0.493	0.469	0.294	0.000	0.347
0.400	0.415	0.724	0.300	0.382	0.627	0.443	0.316	0.365	0.421	0.406	0.379	0.307	0.347	0.000
